"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"NDN_3.PIK3CD",5.84564985300417e-24,0.778864665197551,0.327,0.185,1.43095662751689e-19,"NDN_3"
"NDN_3.MOSPD2",5.95165806641333e-24,0.746307978702824,0.301,0.163,1.45690637807732e-19,"NDN_3"
"NDN_3.KIF13A",1.41076575962726e-23,0.587598247930207,0.32,0.175,3.45341350299158e-19,"NDN_3"
"NDN_3.ISG20",1.91181930315826e-23,1.10341402432827,0.214,0.099,4.67994247220112e-19,"NDN_3"
"NDN_3.CTSH",2.86829683963294e-23,0.548231408590944,0.305,0.16,7.02130383373747e-19,"NDN_3"
"NDN_3.CRISPLD2",3.84119958458567e-23,1.18266840148891,0.203,0.092,9.40287246310727e-19,"NDN_3"
"NDN_3.COL9A3",5.37038257106112e-23,1.43724762443045,0.108,0.027,1.31461594957005e-18,"NDN_3"
"NDN_3.HLA-F",7.49668732553882e-23,0.622920554528256,0.279,0.145,1.83511409041865e-18,"NDN_3"
"NDN_3.IFIH1",1.14617528738905e-22,3.17365785499614,0.073,0.009,2.80572248599965e-18,"NDN_3"
"NDN_3.YPEL3",1.18511638820362e-22,0.714569414847041,0.402,0.249,2.90104640668364e-18,"NDN_3"
"NDN_3.DNAJB1",1.36254434140777e-22,0.694916185819167,0.418,0.275,3.33537229333207e-18,"NDN_3"
"NDN_3.SEC14L1",1.36968646724648e-22,1.26276465653987,0.273,0.149,3.35285550317265e-18,"NDN_3"
"NDN_3.SLC43A2",1.71036028471077e-22,1.38024492406608,0.126,0.039,4.1867909409435e-18,"NDN_3"
"NDN_3.TMEM71",2.24807285369562e-22,0.575397667992219,0.38,0.229,5.5030575385615e-18,"NDN_3"
"NDN_3.TNFRSF10C",2.25816826887758e-22,0.955815659855433,0.217,0.102,5.52777010538543e-18,"NDN_3"
"NDN_3.NQO2",2.47793546352627e-22,0.599101151339754,0.351,0.208,6.06573822116596e-18,"NDN_3"
"NDN_3.AC020656.1",2.71823892682562e-22,1.26734286622973,0.153,0.058,6.65397706897643e-18,"NDN_3"
"NDN_3.FCGRT",4.15572282415286e-22,0.803347503919329,0.268,0.14,1.01727939012438e-17,"NDN_3"
"NDN_3.NRBF2",6.79257550653896e-22,0.681933658643475,0.321,0.184,1.66275455824567e-17,"NDN_3"
"NDN_3.LRRC4",8.69199634063324e-22,1.04479187320461,0.205,0.097,2.12771378422361e-17,"NDN_3"
"NDN_3.CSF2RB",9.43680482706057e-22,0.919031226219526,0.26,0.136,2.31003545361616e-17,"NDN_3"
"NDN_3.AP1S2",1.03672680471292e-21,0.500796361816927,0.367,0.215,2.53780354525677e-17,"NDN_3"
"NDN_3.SMIM25",1.0892203219061e-21,2.10341095305608,0.106,0.029,2.66630242599395e-17,"NDN_3"
"NDN_3.HERC5",1.14750171087601e-21,3.04643848371816,0.064,0.005,2.80896943805338e-17,"NDN_3"
"NDN_3.RAC1",1.27557349919458e-21,0.64695572859221,0.38,0.236,3.12247636867841e-17,"NDN_3"
"NDN_3.BID",2.13239831532312e-21,0.738989576720694,0.261,0.137,5.21989783607947e-17,"NDN_3"
"NDN_3.TMA7",2.2397171567715e-21,0.501741194248033,0.447,0.291,5.48260362806095e-17,"NDN_3"
"NDN_3.UBE2L6",2.59469791687732e-21,1.62683832069724,0.099,0.025,6.351561030724e-17,"NDN_3"
"NDN_3.MID1IP1",3.30586490421452e-21,1.02608991136071,0.208,0.1,8.09242669902672e-17,"NDN_3"
"NDN_3.C11orf21",3.68050969858866e-21,0.792287904370185,0.217,0.103,9.00951969117519e-17,"NDN_3"
"NDN_3.LILRA1",3.85044648104322e-21,2.56991691786564,0.069,0.008,9.4255079409457e-17,"NDN_3"
"NDN_3.ANPEP",4.48365896512276e-21,0.57773963465296,0.359,0.215,1.0975548780724e-16,"NDN_3"
"NDN_3.SLC15A3",4.82285188792096e-21,0.853412449099118,0.213,0.102,1.18058591364417e-16,"NDN_3"
"NDN_3.PPT1",5.32547484795541e-21,0.846247875015345,0.218,0.105,1.303622988031e-16,"NDN_3"
"NDN_3.NUP50",5.44693850093838e-21,0.74064856525329,0.254,0.133,1.33335607564471e-16,"NDN_3"
