"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"pDC.OAS2",5.90260527969891e-11,2.39863214154897,0.199,0.045,1.4448987464175e-06,"pDC"
"pDC.PTPRE",6.33783634832672e-11,0.691473558077612,0.823,0.614,1.5514389597069e-06,"pDC"
"pDC.LILRA4",8.27524382775168e-11,2.12267000127157,0.189,0.04,2.02569693659533e-06,"pDC"
"pDC.TNFSF13B",8.31581331887327e-11,1.5922986003567,0.304,0.114,2.03562794232699e-06,"pDC"
"pDC.BLNK",1.19495986789984e-10,0.707148864604307,0.727,0.495,2.92514226063203e-06,"pDC"
"pDC.PDCD4",1.45579737005198e-10,0.862525328379105,0.59,0.344,3.56364638215023e-06,"pDC"
"pDC.DYNLL1",1.55913328691945e-10,0.783954226249545,0.708,0.464,3.81660237305012e-06,"pDC"
"pDC.IFI35",1.60755306006971e-10,1.7468963624752,0.239,0.073,3.93512913574463e-06,"pDC"
"pDC.MMP9",1.91347333743303e-10,1.78327588380259,0.171,0.033,4.68399138270232e-06,"pDC"
"pDC.SP110",1.97677802803022e-10,1.0202953159344,0.655,0.455,4.83895493481517e-06,"pDC"
"pDC.GRN",2.07559726281539e-10,0.699727684695969,0.798,0.666,5.08085453964579e-06,"pDC"
"pDC.GRAMD1B",2.98253552017078e-10,1.3596008295236,0.354,0.149,7.30094869982605e-06,"pDC"
"pDC.OOEP",3.33952642921592e-10,0.604286137110218,0.823,0.746,8.17482674607764e-06,"pDC"
"pDC.AL627171.4",4.57607014585629e-10,1.56875194110626,0.193,0.045,1.12017621100416e-05,"pDC"
"pDC.COMMD6",5.0226139199245e-10,0.668378383062671,0.77,0.628,1.22948566145832e-05,"pDC"
"pDC.PLEKHA7",5.28655445426813e-10,0.511178584177806,0.876,0.791,1.2940956648603e-05,"pDC"
"pDC.SAMHD1",5.97094445260348e-10,0.581992912205128,0.839,0.732,1.46162749255281e-05,"pDC"
"pDC.BAIAP2L1",7.30544914386371e-10,0.736913063223213,0.661,0.427,1.7883008959264e-05,"pDC"
"pDC.PRXL2A",7.35755781956869e-10,1.57105758167725,0.27,0.097,1.80105657865222e-05,"pDC"
"pDC.IL6R",9.32628099634763e-10,1.78029725189936,0.23,0.071,2.28298032509594e-05,"pDC"
"pDC.ARID3A",1.05626723341136e-09,1.29821454696665,0.37,0.166,2.58563656066768e-05,"pDC"
