,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Ncor1,2.25167469664977e-91,1.31184150137858,0.308,0.119,3.69589884708093e-87
D17Wsu92e,2.55915410753902e-91,1.00811138964338,0.397,0.187,4.20059555211455e-87
Palld,3.18272493246487e-91,0.886742303307311,0.42,0.198,5.22412470414784e-87
Dag1,5.4544602638354e-91,1.65909556210417,0.254,0.082,8.95295107705943e-87
Chmp4b,5.50684476318785e-91,1.25812879805665,0.3,0.11,9.03893499429654e-87
Clic4,1.0840776610131e-90,1.94621521198576,0.223,0.063,1.7794050727869e-86
Kif1b,1.10271200405966e-90,1.30483157995815,0.328,0.136,1.80999148346353e-86
Aqp9,1.13805169275039e-90,1.00592150289388,0.364,0.157,1.86799804848049e-86
Mdh1,1.42286776283528e-90,-0.86263230102473,0.822,0.804,2.33549514591783e-86
Serbp1,2.19743799757352e-90,0.607325626831744,0.586,0.326,3.60687472921718e-86
Dtx3l,3.97797791671156e-90,1.68623434643343,0.234,0.068,6.52945295249036e-86
Hacd3,4.91609906590764e-90,1.29836650726139,0.307,0.12,8.0692850067808e-86
Epb4.1l4b,6.58612594826409e-90,1.84549920888526,0.225,0.063,1.08104671314807e-85
Gjb1,8.36018057346997e-90,0.502854259403211,0.799,0.559,1.37224003932936e-85
Psmb6,9.47484134169565e-90,-1.41369287700502,0.391,0.52,1.55520045782592e-85
Laptm4a,9.95488436159229e-90,0.59230508480383,0.623,0.371,1.63399471911176e-85
Rad21,5.15874739938205e-89,1.74574594010832,0.224,0.062,8.46756798134569e-85
Tmem220,1.33379203121084e-88,1.9635279988685,0.215,0.058,2.18928624002946e-84
Ube2h,1.91692575544041e-88,1.63161926016861,0.237,0.072,3.14644193497989e-84
Stra6l,2.50019938173065e-88,1.16653571225273,0.336,0.142,4.10382726517268e-84
Ell2,1.90693900286807e-87,1.4768268400244,0.256,0.084,3.13004967930765e-83
ND6,2.20077556389852e-87,0.899544623500403,0.388,0.18,3.61235301058303e-83
Ndufb4,2.9722688183761e-87,-1.32649796355675,0.482,0.571,4.87868203848253e-83
Sf1,3.16103853729861e-87,1.26660870107802,0.308,0.122,5.18852865512194e-83
Sec24d,3.41164741986456e-87,1.400418570526,0.269,0.095,5.59987807496569e-83
Ergic1,3.52953352278856e-87,1.19111250425698,0.322,0.132,5.79337632430514e-83
Cdh1,3.97529216222722e-87,2.10870767537985,0.207,0.055,6.52504455507977e-83
Nono,6.32312469459651e-87,1.15707130132202,0.34,0.145,1.03787768737107e-82
Cul3,6.40618547261401e-87,2.06263133468885,0.2,0.05,1.05151128347486e-82
Tnrc6a,6.68471733147398e-87,1.4790597626483,0.265,0.092,1.09722950278814e-82
Dnajc5,1.04010819077647e-86,1.47209527771805,0.25,0.081,1.70723358434051e-82
Pde3b,1.4859199132191e-86,1.49022812216168,0.27,0.097,2.43898894555783e-82
