"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"LT-HSC.RASAL2",7.48330083148381e-13,4.31989914024149,0.562,0.048,1.83183721053892e-08,"LT-HSC"
"LT-HSC.NR4A1",3.01177899727994e-10,3.25651421716266,0.75,0.163,7.37253380744155e-06,"LT-HSC"
"LT-HSC.AL121974.1",3.77712369581749e-10,6.573532208148,0.188,0,9.24602109499164e-06,"LT-HSC"
"LT-HSC.SLC35F1",4.6667124506021e-10,2.96872090898663,0.812,0.202,1.14236454078289e-05,"LT-HSC"
"LT-HSC.LTB",1.22930544208121e-09,3.36557650142222,0.312,0.014,3.0092167916706e-05,"LT-HSC"
"LT-HSC.FREM1",1.22930544208121e-09,3.10476932240337,0.312,0.014,3.0092167916706e-05,"LT-HSC"
"LT-HSC.FOLR3",8.35971115940496e-09,6.08490693825701,0.25,0.01,0.000204637369471074,"LT-HSC"
"LT-HSC.LTF",1.86677901429817e-08,2.51813327228886,0.812,0.197,0.000456968834910048,"LT-HSC"
"LT-HSC.ELMSAN1",1.11102912982751e-07,2.98956143948274,0.438,0.053,0.00271968820690476,"LT-HSC"
"LT-HSC.SLC2A10",1.23837342168592e-07,4.53747424212148,0.188,0.005,0.00303141429894496,"LT-HSC"
"LT-HSC.AC107464.3",1.36209902111032e-07,4.63375016169155,0.188,0.005,0.00333428219377594,"LT-HSC"
"LT-HSC.VSIG10",1.36209902111032e-07,4.03619152893251,0.188,0.005,0.00333428219377594,"LT-HSC"
"LT-HSC.S100A9",1.80455390225415e-07,1.90759368804286,1,0.51,0.00441736749732794,"LT-HSC"
"LT-HSC.S100A8",2.32712876944177e-07,1.92645568293729,1,0.543,0.00569657851471652,"LT-HSC"
"LT-HSC.WDCP",3.42980306746555e-07,5.93400160350712,0.125,0,0.00839581492884891,"LT-HSC"
"LT-HSC.GCC2-AS1",3.42980306746555e-07,6.06585833641,0.125,0,0.00839581492884891,"LT-HSC"
"LT-HSC.AC083855.2",3.42980306746555e-07,5.94921285462022,0.125,0,0.00839581492884891,"LT-HSC"
"LT-HSC.AC079140.6",3.42980306746555e-07,5.90966075382132,0.125,0,0.00839581492884891,"LT-HSC"
"LT-HSC.KCNK17",3.42980306746555e-07,6.6312886230917,0.125,0,0.00839581492884891,"LT-HSC"
"LT-HSC.TREM1",3.42980306746555e-07,5.97481162025935,0.125,0,0.00839581492884891,"LT-HSC"
"LT-HSC.TMEM63B",3.42980306746555e-07,6.44429194549629,0.125,0,0.00839581492884891,"LT-HSC"
"LT-HSC.FZD1",3.42980306746555e-07,6.95579876689049,0.125,0,0.00839581492884891,"LT-HSC"
"LT-HSC.LINC01545",3.42980306746555e-07,5.95087851708444,0.125,0,0.00839581492884891,"LT-HSC"
"LT-HSC.SLC45A4",3.42980306746555e-07,5.99907020651466,0.125,0,0.00839581492884891,"LT-HSC"
"LT-HSC.MPEG1",3.42980306746555e-07,5.91358791045775,0.125,0,0.00839581492884891,"LT-HSC"
"LT-HSC.AL355303.1",3.42980306746555e-07,5.94921285462022,0.125,0,0.00839581492884891,"LT-HSC"
"LT-HSC.UBTD1",3.42980306746555e-07,5.94921285462022,0.125,0,0.00839581492884891,"LT-HSC"
"LT-HSC.AC078777.1",3.42980306746555e-07,6.06585833641,0.125,0,0.00839581492884891,"LT-HSC"
"LT-HSC.ZNF205",3.42980306746555e-07,6.32797214520817,0.125,0,0.00839581492884891,"LT-HSC"
"LT-HSC.CDC42EP4",3.42980306746555e-07,5.8278110965668,0.125,0,0.00839581492884891,"LT-HSC"
"LT-HSC.AC100778.3",3.42980306746555e-07,5.92227245260623,0.125,0,0.00839581492884891,"LT-HSC"
"LT-HSC.ZNF491",3.42980306746555e-07,6.27948920060935,0.125,0,0.00839581492884891,"LT-HSC"
"LT-HSC.AC011450.1",3.42980306746555e-07,5.99907020651466,0.125,0,0.00839581492884891,"LT-HSC"
"LT-HSC.CASTOR1",3.42980306746555e-07,6.44429194549629,0.125,0,0.00839581492884891,"LT-HSC"
"LT-HSC.SYCE1",3.42980306746555e-07,5.87805773501013,0.125,0,0.00839581492884891,"LT-HSC"
"LT-HSC.IGF2R",3.65538094211633e-07,3.32248953873886,0.375,0.043,0.00894800700820656,"LT-HSC"
"LT-HSC.KRT8",3.65538094211633e-07,3.50363282454434,0.375,0.043,0.00894800700820656,"LT-HSC"
"LT-HSC.DLK1",5.22416269433163e-07,2.93537668408028,0.438,0.062,0.0127882278594544,"LT-HSC"
"LT-HSC.FAM43A",6.83412883077882e-07,3.20198893928707,0.312,0.029,0.0167292639648635,"LT-HSC"
"LT-HSC.RPS18",1.84393006984599e-06,0.959461487815357,1,1,0.0451375641797601,"LT-HSC"
"LT-HSC.FOSL1",1.93326225528415e-06,3.06588409646777,0.312,0.034,0.0473243267471006,"LT-HSC"
"LT-HSC.PACS2",1.99564280326732e-06,2.53194676346932,0.438,0.067,0.0488513401811807,"LT-HSC"
"LT-HSC.TXNL4B",2.03135131421235e-06,3.26162241708534,0.25,0.019,0.049725448820604,"LT-HSC"
"CLP.S100A8",7.31935184052424e-21,3.05444926658712,1,0.581,1.79170413704193e-16,"CLP"
"CLP.SLC35F1",6.13999874529289e-18,2.7955471808401,0.808,0.285,1.50301029286025e-13,"CLP"
"CLP.CAMP",7.80303648130339e-16,4.38631276316196,0.654,0.116,1.91010530025826e-11,"CLP"
"CLP.S100A9",5.77102037612933e-15,2.89454915742556,0.981,0.593,1.4126880778727e-10,"CLP"
"CLP.RPS29",8.4085480145269e-14,0.843943468691863,0.981,1,2.05832846847604e-09,"CLP"
"CLP.S100A12",2.28747048425043e-13,3.8549612533574,0.558,0.099,5.59949899839663e-09,"CLP"
"CLP.XIST",3.66745287409574e-13,8.49563191003187,0.288,0,8.97755789049896e-09,"CLP"
"CLP.LTF",1.84691614269713e-12,4.49834434764832,0.654,0.186,4.5210660257083e-08,"CLP"
"CLP.AC020656.1",4.22149772871862e-12,5.95745532594339,0.288,0.006,1.03338042901303e-07,"CLP"
"CLP.AC099560.1",3.56193203670929e-10,0.860296907118643,0.981,0.988,8.71925343266067e-06,"CLP"
"CLP.RASAL2",1.08360186074925e-09,2.34556999077654,0.538,0.134,2.65254899492809e-05,"CLP"
"CLP.LYZ",4.39821368855797e-08,1.80761936978362,0.808,0.517,0.00107663872882211,"CLP"
"CLP.RPL36",1.17225309196719e-07,0.603628158795872,1,1,0.00286955834382648,"CLP"
"CLP.PGLYRP1",2.27973110910074e-07,4.43729323302886,0.25,0.029,0.00558055378196771,"CLP"
"CLP.RPS27",4.92621536376158e-07,0.858185069974362,0.962,0.994,0.012058882588952,"CLP"
"CLP.RPS21",7.19938342446689e-07,0.622789569241698,0.962,0.994,0.0176233706847525,"CLP"
"CLP.LCN2",1.30461763205365e-06,3.10786059068965,0.442,0.14,0.0319357350150413,"CLP"
"CLP.TRAF3IP3",1.4332196842936e-06,2.63003043751313,0.327,0.07,0.035083784651823,"CLP"
"CLP.RPL18A",1.57630753947904e-06,1.02461600268224,0.846,0.767,0.0385864322589075,"CLP"
"CLP.IFIT1",1.9854102316495e-06,4.41781616688936,0.154,0.006,0.048600857060548,"CLP"
"CLP.RPS25",1.98786806000441e-06,0.678460831083322,0.962,0.953,0.0486610222408479,"CLP"
"NPC.S100A9",1.54655798056464e-14,1.37070844131412,0.965,0.524,3.78581928062419e-10,"NPC"
"NPC.LTF",1.6119254615978e-14,2.19945335671441,0.754,0.179,3.94583233744526e-10,"NPC"
"NPC.SLC35F1",1.72576556821781e-14,2.80311627475163,0.754,0.324,4.22450153444038e-10,"NPC"
"NPC.S100A12",5.03393922810297e-14,1.80362171318459,0.684,0.159,1.23225798364733e-09,"NPC"
"NPC.XIST",7.44359182149286e-14,8.67061318468983,0.351,0,1.82211684198324e-09,"NPC"
"NPC.S100A8",4.42374887808227e-13,1.08583991118548,0.947,0.579,1.08288948786576e-08,"NPC"
"NPC.IFI44L",4.87910205768077e-11,3.53530101343146,0.456,0.069,1.19435539269968e-06,"NPC"
"NPC.RASAL2",7.51539958373019e-11,2.42090894647306,0.439,0.055,1.83969466410131e-06,"NPC"
"NPC.RPS29",1.91862897693503e-10,0.809442341891154,0.982,0.972,4.69661187263926e-06,"NPC"
"NPC.CAMP",3.16871433504272e-10,2.76598154469726,0.649,0.193,7.75669582075107e-06,"NPC"
"NPC.IFI6",5.20843678450711e-10,3.33556380950144,0.491,0.117,1.2749732404795e-05,"NPC"
"NPC.RPLP2",7.13307807951177e-10,0.642682762862546,0.982,0.979,1.74610618308369e-05,"NPC"
"NPC.LGALS1",2.0281623486182e-09,3.58305696252011,0.509,0.131,4.96473861318249e-05,"NPC"
"NPC.XAF1",2.48036034799718e-09,2.74990223439052,0.596,0.221,6.07167409586229e-05,"NPC"
"NPC.RPL9",3.72291734952245e-09,1.44015011492363,0.737,0.331,9.11332937989601e-05,"NPC"
"NPC.MX1",9.94493204759954e-09,3.65334871103992,0.333,0.041,0.000243441991593189,"NPC"
"NPC.SERF2",2.23512157360552e-08,0.850178684899494,0.965,0.89,0.000547135410002895,"NPC"
