,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Spop,0.000384528372102782,0.241201765389976,0.203,0.303,1
Fam136a,0.000386255050786776,0.458911282064384,0.18,0.275,1
Hsp90ab1,0.000386974087101985,0.239686574110205,0.721,0.839,1
Tprkb,0.000388740112093412,0.498683820366473,0.147,0.229,1
Agpat2,0.000391799116932371,0.575236790310624,0.523,0.62,1
Bri3,0.000431672960191955,0.720543377229632,0.431,0.48,1
Aamp,0.000459508886473459,0.384155466447561,0.208,0.312,1
Cyp2d9,0.000467460158582062,-0.148140744931772,0.448,0.605,1
Rap1a,0.000511303062784976,0.102440128019478,0.271,0.39,1
Dnajb9,0.000518704852265729,0.443873986074582,0.207,0.316,1
Hmgcl,0.000527212602140361,0.710374769378321,0.422,0.459,1
Ube2b,0.000529167540914705,0.206591819853244,0.303,0.45,1
Chmp5,0.000540963026207242,0.266534318402077,0.218,0.322,1
Sptssa,0.000550561017880445,0.177822740787028,0.235,0.34,1
Mettl7b,0.000554281220271128,0.564178078632453,0.521,0.611,1
Fkbp2,0.000560867334552158,0.849804738188454,0.371,0.389,1
Gpi1,0.000579130544836296,0.305960118041979,0.188,0.282,1
Rps16,0.000586752842354897,0.126176383563714,0.786,0.85,1
Ppib,0.0005964291399606,0.712357841275389,0.472,0.555,1
Pdap1,0.000695285910233883,0.415683712299355,0.177,0.264,1
Atp6v1f,0.000697511870795998,0.632114196692798,0.391,0.401,1
Arf1,0.000699964706766641,0.190273788641836,0.334,0.498,1
H2afv,0.000709272688331652,0.358345135452758,0.203,0.305,1
Pnkd,0.000760079793571575,0.426550933320188,0.256,0.389,1
Alb,0.000810646787330207,-0.358213516122726,1,0.915,1
Vapb,0.000852390604490051,0.338341400801727,0.14,0.211,1
Eef1b2,0.000865500015228178,0.221592509739662,0.307,0.454,1
Gstk1,0.000878438566013932,0.328641850438026,0.16,0.237,1
Gm15421,0.000879172022325543,0.158679102491582,0.19,0.276,1
Rpl31,0.000901272420638201,0.379707324395368,0.574,0.677,1
Bckdhb,0.00093451525241551,0.364870385910105,0.144,0.218,1
Ubxn4,0.00101305778376236,0.54712551315261,0.187,0.285,1
Brk1,0.00109935644523269,0.342544926366217,0.186,0.274,1
Sf3b6,0.00114206342997611,0.37800620816645,0.147,0.22,1
Rpl5,0.00115616242071487,0.111327722035738,0.398,0.579,1
Vdac3,0.00121636813792854,0.297642123650482,0.278,0.407,1
Iscu,0.00124817150110383,0.626127216395473,0.441,0.496,1
Mrps33,0.00125805966639934,0.829428648849261,0.316,0.31,1
Dgcr6,0.00126396057411531,0.35586531765691,0.178,0.263,1
Cct7,0.00129358233579213,0.336070522392869,0.143,0.213,1
Mif4gd,0.00131618988760005,0.527789360259878,0.153,0.231,1
Ugt2b36,0.00133076393753776,0.133199363531252,0.399,0.579,1
Adtrp,0.00137864067384355,0.527507946468218,0.143,0.216,1
Rheb,0.00143611679669693,0.266705439962346,0.221,0.32,1
Gsto1,0.00147439835045008,0.866993379828487,0.35,0.365,1
0610007P14Rik,0.00148645112245421,0.562498385928941,0.142,0.214,1
Lsm6,0.00157132971074269,0.350904040004511,0.245,0.356,1
Ppp1ca,0.00157239059211046,0.166632652503103,0.323,0.465,1
Hacl1,0.00159589976818733,0.965521733281728,0.307,0.312,1
Srp19,0.00168714985292227,0.489768891436521,0.133,0.201,1
Mdh2,0.00170089745242795,0.686668775993718,0.414,0.457,1
Eif6,0.00177452245011989,0.391794443388544,0.171,0.252,1
Cideb,0.00181836585403508,0.35833641828483,0.239,0.35,1
Fdx1,0.00186143322018359,0.642758347317599,0.425,0.484,1
Mrpl18,0.00187303654276233,0.372097227057531,0.207,0.301,1
Rpl36,0.00199416943211675,-0.118036402936627,0.779,0.879,1
Wdr83os,0.00208612960868739,0.363287371212094,0.164,0.24,1
Plin2,0.0021353086559103,0.436811407741278,0.555,0.672,1
Cltb,0.00230970329473677,0.302215778956684,0.177,0.255,1
C1d,0.00246638873759064,0.306431362527023,0.288,0.417,1
Rpl23,0.00271205311518788,0.175185818817372,0.756,0.849,1
Pmpcb,0.00273079150642079,1.12411995896095,0.204,0.182,1
Smim10l1,0.00274496197927657,0.297282488055632,0.238,0.34,1
