,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Pex13,2.40356515962836e-17,0.15320853826722,0.098,0.284,3.945211853014e-13
Tspan12,2.59053716323476e-17,0.22039554151389,0.252,0.566,4.25210769973353e-13
Ctso,2.8736985785479e-17,-0.143840676801515,0.057,0.207,4.71688884682852e-13
Rhoa,3.32425234462901e-17,0.142329813592488,0.3,0.659,5.45642779847405e-13
Prkar1a,4.34699800792334e-17,0.167541157760035,0.17,0.408,7.13516253020538e-13
Rapgef4,4.45212190698723e-17,0.22169168602648,0.237,0.538,7.30771289812883e-13
Serpina1d,4.8215291986523e-17,0.36396497471398,0.962,0.981,7.91405802666789e-13
Cdadc1,5.21593483963904e-17,-0.251543895530531,0.057,0.205,8.56143544578351e-13
Egln2,5.32945095637578e-17,0.159370281589459,0.108,0.296,8.74776079979521e-13
Eif1a,5.49798856669944e-17,0.134036831867917,0.105,0.291,9.02439843338046e-13
Psmd1,5.88509440679975e-17,0.229123119697955,0.125,0.326,9.65979395932111e-13
Calm3,6.18373656974389e-17,0.219758312606995,0.125,0.326,1.01499852055776e-12
Ndufc1,6.60555001993266e-17,1.17386487807252,0.602,0.759,1.08423498027175e-12
Ndufa6,6.97163945998067e-17,0.599529301377303,0.79,0.959,1.14432490096123e-12
Vdac2,8.07726927782192e-17,0.144971915658778,0.18,0.422,1.32580297926169e-12
Sec14l2,8.51259119989605e-17,-0.16887336366125,0.46,0.884,1.39725671955094e-12
Psmc4,9.43545091777142e-17,2.73996606375588,0.249,0.142,1.548734913643e-12
Kng1,1.02363917256059e-16,-0.255684568712128,0.618,0.953,1.68020133784094e-12
Khk,1.11295229844423e-16,0.659561090744845,0.737,0.932,1.82679990266636e-12
Adh1,1.11656890042563e-16,-0.257773522417364,0.559,0.933,1.83273619315862e-12
Cdk5rap3,1.16315667621059e-16,0.225572979361616,0.127,0.328,1.90920536833207e-12
Zdhhc6,1.28318777893073e-16,-0.126665528538142,0.082,0.246,2.10622442033691e-12
Psma3,1.3994705430423e-16,1.81459377765588,0.462,0.458,2.29709094934963e-12
Derl2,1.62836144670423e-16,0.237399749514325,0.256,0.566,2.67279247862032e-12
Bscl2,2.00005080537355e-16,-0.127474081526584,0.074,0.231,3.28288339194014e-12
Hbs1l,2.08298646358936e-16,-0.107949759723999,0.068,0.221,3.41901398133557e-12
Ube2d2a,2.25026115295218e-16,0.286267362294312,0.2,0.461,3.69357865645571e-12
Hes6,2.60279696099713e-16,0.200444159991427,0.163,0.391,4.27223093178069e-12
Mettl9,3.26903338081436e-16,0.261488346044463,0.106,0.289,5.36579139126868e-12
Cab39l,4.93438983519842e-16,-0.114715587462254,0.071,0.224,8.09930747549468e-12
Suclg1,5.18427814391861e-16,1.39278613054925,0.547,0.661,8.509474145428e-12
Mir703,5.33648608984484e-16,0.291940067251027,0.246,0.555,8.75930826787133e-12
Pno1,5.92188909915745e-16,-0.304972399867,0.061,0.205,9.72018876735704e-12
Gch1,6.02856139372735e-16,0.212379546699003,0.197,0.448,9.89528067166408e-12
Imp3,6.09378351132851e-16,0.179698806175271,0.122,0.315,1.00023362554946e-11
Gm4952,6.32825065255531e-16,0.302242262864557,0.109,0.292,1.03871906211043e-11
Cbs,6.36504113587404e-16,-0.233896219500896,0.531,0.924,1.04475785204236e-11
Spint2,6.55822996684631e-16,0.25084752820778,0.122,0.311,1.07646786675815e-11
Ndufb7,6.56945776114848e-16,1.14325335115772,0.568,0.689,1.07831079691491e-11
Rps4x,7.34964798817683e-16,0.749285072675062,0.695,0.896,1.20637122077935e-11
March5,7.4908495118826e-16,0.373444801691514,0.176,0.413,1.22954803888041e-11
Ostc,9.7490135562004e-16,0.210796359405844,0.198,0.453,1.60020308511473e-11
Rab9,1.23331765758327e-15,0.122534182546323,0.13,0.325,2.02436760315718e-11
Cideb,1.32009741943282e-15,0.227086460405082,0.239,0.527,2.16680790425702e-11
Mpp6,1.41167869450361e-15,0.133522305625113,0.096,0.265,2.31712940915823e-11
Slc22a1,1.43099276123679e-15,0.51009715002273,0.143,0.353,2.34883151829407e-11
Rnft1,1.85479338862531e-15,-0.160514573376187,0.071,0.219,3.04445786808958e-11
Hax1,2.15312794095985e-15,0.299313196134102,0.14,0.344,3.5341442022915e-11
Rpl36,2.67726899675844e-15,-0.243653332194774,0.779,0.992,4.3944693312793e-11
Shmt1,2.68324845411639e-15,0.36728692965421,0.152,0.364,4.40428401258664e-11
Tcea1,3.1758804693579e-15,0.134441514108127,0.11,0.288,5.21289020240407e-11
Pnkd,3.50322636781893e-15,0.343784510085416,0.256,0.563,5.75019576013799e-11
Snrpf,3.65325086384047e-15,0.215676636312038,0.118,0.301,5.99644596790774e-11
Cyp4a10,5.1517522179693e-15,-0.166308849505548,0.204,0.434,8.45608609057481e-11
Lgals1,5.62758125265416e-15,2.16818912697309,0.234,0.13,9.23711186810653e-11
Sds,6.1098183201038e-15,1.48143220347842,0.528,0.605,1.00286557906184e-10
Gltpd2,6.37398546193875e-15,0.344426338114341,0.105,0.278,1.04622597372263e-10
Strap,6.48551399851502e-15,0.201665950340796,0.126,0.315,1.06453226771625e-10
Rtcb,7.35748526388475e-15,-0.108336177302287,0.067,0.209,1.20765763121404e-10
Sec22b,7.47179702008752e-15,0.236006551261144,0.105,0.276,1.22642076287717e-10
Morf4l1,7.50002031723545e-15,0.163625457358109,0.314,0.659,1.23105333487103e-10
Capzb,7.83870417999077e-15,0.295635903700794,0.173,0.396,1.28664490410369e-10
Abcg5,9.02881127861986e-15,0.126643624440689,0.068,0.21,1.48198908327266e-10
Echdc1,1.0003252731316e-14,0.251902154910254,0.113,0.291,1.64193390331821e-10
Acat3,1.06124047014287e-14,0.115647198204872,0.35,0.733,1.74192010769251e-10
Serf2,1.06449686324355e-14,0.451675211651448,0.827,0.975,1.74726515132796e-10
Hebp1,1.17278727409566e-14,0.944614494520723,0.62,0.822,1.92501303170061e-10
Mif4gd,1.6115300754552e-14,0.40297778681273,0.153,0.361,2.64516546585217e-10
Cmbl,1.72920384716693e-14,2.05291969377426,0.408,0.376,2.8383151947398e-10
Acbd4,1.85787710685216e-14,0.171339698070829,0.081,0.23,3.04951948318713e-10
Psmd13,2.04244785432628e-14,0.218155415095756,0.14,0.334,3.35247390809116e-10
Ube2j2,2.08432797705722e-14,0.250392649896599,0.072,0.215,3.42121594154172e-10
Rpl35a,2.18764212191216e-14,0.476897025606944,0.81,0.962,3.59079577890662e-10
Ndufb8,2.52294690052982e-14,1.21794362992266,0.565,0.69,4.14116504252964e-10
March2,2.66756995049898e-14,0.450902628395202,0.108,0.278,4.37854931674902e-10
Timd2,2.76080068023898e-14,0.216476525123044,0.127,0.312,4.53157823654425e-10
Pex19,2.84325699526772e-14,0.226289725195149,0.123,0.304,4.66692203203244e-10
Mid1ip1,3.44980265932453e-14,0.419232680135261,0.177,0.4,5.66250608501528e-10
Uba52,4.18024384608719e-14,0.30128717383007,0.963,0.998,6.86145224896752e-10
Arhgdia,4.48227339021001e-14,-0.159164291271258,0.069,0.207,7.35720354269072e-10
BC003965,5.09389392931679e-14,0.197292081225208,0.099,0.257,8.36111749558058e-10
Rps23,5.29536510483196e-14,0.482486169240197,0.817,0.965,8.69181228307117e-10
Ptgr2,5.99055751255867e-14,0.179658257483144,0.085,0.235,9.83290110111381e-10
Iah1,8.65174715846304e-14,1.82456148377018,0.425,0.413,1.42009777859012e-09
Rsrc2,9.41052556437935e-14,0.159819195389657,0.067,0.201,1.54464366613723e-09
Masp2,1.08865840340973e-13,0.336374767505406,0.282,0.594,1.78692390335673e-09
1600002H07Rik,1.16006959102909e-13,0.12214689964086,0.069,0.205,1.90413822671514e-09
Fkbp8,1.35806172388568e-13,0.227602324813221,0.314,0.652,2.22912251358596e-09
Fkbp4,1.38321548745751e-13,0.305781485970198,0.262,0.558,2.27040990111275e-09
Slmo2,1.4194754287258e-13,0.122149809331907,0.076,0.217,2.32992696871053e-09
Fetub,1.49899686433573e-13,0.314577108618078,0.254,0.542,2.46045345312066e-09
Ssr2,1.63151579842623e-13,0.293225666180886,0.14,0.329,2.67797003153681e-09
Ptrhd1,1.80556753043527e-13,0.306267747747498,0.091,0.242,2.96365854445646e-09
Rbfa,1.83813906078853e-13,0.152381373432841,0.069,0.205,3.01712145437829e-09
Ndufs1,1.96976374987512e-13,0.284550190147845,0.11,0.276,3.23317021904502e-09
Pink1,2.23217975873853e-13,0.425338029434374,0.183,0.401,3.66389985599342e-09
Hsdl2,2.49478345110591e-13,0.503408753290155,0.154,0.353,4.09493755664525e-09
Lyrm5,2.51813319980795e-13,0.316656790059023,0.11,0.275,4.13326383416477e-09
Rbp4,2.5468902718243e-13,0.174085168167029,0.999,0.988,4.1804656921724e-09
Sarnp,2.62535240597648e-13,0.433956149578518,0.191,0.42,4.3092534391698e-09
Ociad2,2.72772600634153e-13,0.306433704945356,0.123,0.295,4.47728946680898e-09
Rpl8,3.06538849161968e-13,0.778489824305513,0.664,0.88,5.03152867014454e-09
Ndufaf4,3.15996821870594e-13,0.280856665575617,0.113,0.277,5.18677183418392e-09
Blvrb,3.35601289961051e-13,2.23649235600597,0.331,0.262,5.50855957342069e-09
Ap2m1,3.38371692100415e-13,0.320406907660192,0.207,0.445,5.55403295413622e-09
St3gal4,3.42454070521836e-13,0.250196988826231,0.098,0.252,5.62104111354542e-09
Atp5a1,3.42481480734821e-13,-0.197786920248715,0.678,0.977,5.62149102478136e-09
Preb,3.50030566961251e-13,0.272254308581231,0.127,0.302,5.74540172610197e-09
Eef1b2,3.70970134279074e-13,0.203768171521603,0.307,0.634,6.08910378405672e-09
Psmd7,3.90271513581243e-13,0.560686735030152,0.181,0.4,6.40591662392253e-09
Stip1,3.94257424222461e-13,0.246115253674406,0.085,0.227,6.47134136118748e-09
Prr13,4.60130478721559e-13,0.35217185017524,0.149,0.339,7.55258167773566e-09
Prpsap1,4.7716019663621e-13,0.16475456500102,0.089,0.235,7.83210746758675e-09
Sephs2,6.34163582523235e-13,0.450015054917269,0.871,0.97,1.04091610435364e-08
Sh3bgrl,6.64461291871311e-13,0.417442894879164,0.218,0.466,1.09064676447757e-08
Hmgn1,6.71197943655141e-13,0.447995545542093,0.221,0.473,1.10170430471555e-08
Pitpnb,7.38007937752622e-13,0.183504994231693,0.084,0.223,1.21136622902715e-08
Copz1,7.76880298694882e-13,0.39025201648704,0.232,0.49,1.27517132227778e-08
Lrg1,9.05598431069838e-13,0.103077936970641,0.399,0.795,1.48644926475803e-08
Smim7,9.3814985079388e-13,0.324563084291963,0.103,0.256,1.53987916509308e-08
Vdac1,9.45309583277643e-13,0.381205340225597,0.275,0.569,1.55163114999192e-08
Cisd1,9.61644212628192e-13,1.0243847237722,0.606,0.821,1.57844281060791e-08
Tex264,1.00281508616676e-12,0.3765302462874,0.095,0.242,1.64602068243412e-08
Ndufa3,1.02194980536683e-12,0.543546610983395,0.707,0.922,1.67742841052911e-08
0610007P14Rik,1.0346390814822e-12,0.465241200886991,0.142,0.326,1.69825658834487e-08
Fam210b,1.03699284899856e-12,0.475424371671757,0.146,0.336,1.70212006234624e-08
