,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
DRAM1,0,5.31800233709437,0.507,0.017,0
LY86,0,5.02986909303186,0.505,0.015,0
SOCS1,0,3.79515072654862,0.531,0.042,0
EIF4EBP1,0,2.33370938120872,0.765,0.276,0
ME1,0,5.23979860092925,0.5,0.018,0
ATP1B1,0,3.31306040028767,0.531,0.057,0
HLA-B,0,3.46347700061358,0.936,0.48,0
WARS,0,2.55127377780403,0.896,0.446,0
TNFAIP3,0,2.1426467187571,0.895,0.448,0
RPLP0P2,0,2.55001306545787,0.923,0.526,0
CRYZ,0,2.51604645928482,0.855,0.47,0
RPS27AP16,0,2.18070112781994,0.9,0.525,0
BTG1,0,2.09160316200458,0.922,0.547,0
MKNK2,0,2.82672657613258,0.929,0.575,0
RILPL2,0,2.2927356530181,0.893,0.564,0
HLA-A,0,2.90473803354725,0.949,0.652,0
RPL39,0,2.03099871964675,0.95,0.787,0
B2M,0,2.62945605390733,0.98,0.916,0
IL6ST,6.96768872552075e-306,2.17509624983262,0.69,0.165,1.92586916373393e-301
NACA2,3.27715824596581e-304,2.41977615899079,0.606,0.104,9.05806539184951e-300
RHEBL1,9.45411421265192e-304,3.29325339907717,0.511,0.049,2.61311716837699e-299
GOLGA8B,1.0564684035824e-302,2.12593258973588,0.809,0.357,2.92007866750174e-298
AC099560.2,1.59342377101954e-299,2.24799259133556,0.614,0.112,4.404223303098e-295
RPL37P23,3.93965477271697e-298,2.34135410948521,0.6,0.099,1.08892057917897e-293
PIK3CD,1.18568103896279e-296,2.14428059071098,0.656,0.147,3.27722239169316e-292
FMNL3,6.35644430966021e-296,2.41304423967144,0.615,0.116,1.75692120719008e-291
GPR18,1.76374931123531e-295,2.97406690524233,0.526,0.062,4.8750030962544e-291
AL450998.1,6.83699520909216e-295,2.50780353128665,0.553,0.074,1.88974547579307e-290
RPLP0P6,7.12269490999364e-292,2.21475884217268,0.637,0.138,1.96871287312224e-287
AC246787.1,2.09958044187176e-291,2.18975084657445,0.617,0.117,5.80324034133353e-287
ANKRD33B,9.50737072285128e-291,2.35563757414519,0.606,0.115,2.62783726779609e-286
PREX1,1.29381881493348e-288,2.42317493407874,0.56,0.084,3.57611520447613e-284
SWAP70,6.82342088740882e-288,2.86882292132009,0.532,0.071,1.8859935332798e-283
SERPINB2,5.66527238782012e-287,3.08168368197992,0.548,0.089,1.56588128799348e-282
RPL35P5,1.0719370243607e-286,2.25977129378575,0.608,0.117,2.96283393533296e-282
CSRNP1,1.20946422177554e-286,2.2172757514985,0.624,0.131,3.34295910898758e-282
CDC42EP3,1.66324676578146e-285,2.27101181849981,0.616,0.124,4.59721406061995e-281
DUSP10,6.61590450870633e-281,2.5755631535879,0.537,0.073,1.82863600620643e-276
APOBEC3G,8.38376256353857e-277,2.72025707154444,0.501,0.058,2.31727197256206e-272
PILRA,8.46142898878877e-268,2.63657672806313,0.517,0.072,2.33873897250122e-263
LINC-PINT,1.27808600179528e-266,2.53428627259871,0.531,0.08,3.53262970896216e-262
LY96,6.19796435746687e-265,2.30466030074606,0.605,0.142,1.71311734840384e-260
NFKBIE,3.59432996392214e-257,2.21222240647091,0.609,0.15,9.9347280202808e-253
RPL12P4,2.38339498811503e-252,2.49142016959049,0.508,0.076,6.58770374714995e-248
RPL37P6,1.48734663330175e-249,2.1751306877435,0.539,0.093,4.11102609444605e-245
TENT5A,2.05193624236855e-248,2.14259973551273,0.624,0.162,5.67155177390668e-244
RPS15AP38,7.96528214816826e-243,2.19607528716502,0.535,0.098,2.20160398575371e-238
EAF2,1.07377190672162e-236,2.00312336459117,0.562,0.123,2.96790555017855e-232
AL161909.1,3.67790340466983e-233,2.0048590982837,0.538,0.103,1.01657250105074e-228
NBEAL2,4.610459056304e-232,2.0469533072916,0.564,0.123,1.27433088316243e-227
DTX2,1.77645388467333e-225,2.02336355289675,0.53,0.103,4.91011853723708e-221
SEMA7A,5.56971830618157e-215,2.16834182009808,0.551,0.133,1.53947013982859e-210
