,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
COX17,1.06463689917821e-19,0.210406241011171,0.954,0.809,2.12927379835642e-16,1,COX17
MTHFD21,1.6959056002238e-18,0.114456883451239,0.988,0.919,3.39181120044759e-15,1,MTHFD2
IFITM1,7.81133824341342e-18,0.175858537046499,0.662,0.626,1.56226764868268e-14,1,IFITM1
MANF,2.34766285277348e-08,0.112915834811687,0.999,0.828,4.69532570554696e-05,1,MANF
TAGLN2,1.33480138011334e-07,0.105902861691129,0.991,0.938,0.000266960276022669,1,TAGLN2
FAM111B,0,1.75765301197341,0.917,0.674,0,2,FAM111B
MCM5,0,1.47601074019587,0.951,0.749,0,2,MCM5
MCM4,0,1.46092722503479,0.959,0.783,0,2,MCM4
MCM6,0,1.49095426957428,0.982,0.816,0,2,MCM6
MCM3,0,1.30082167483384,0.985,0.834,0,2,MCM3
MCM2,0,1.23749028994452,0.99,0.864,0,2,MCM2
PCNA,0,1.46900462661722,0.999,0.942,0,2,PCNA
DUT1,0,1.07930504233903,0.999,0.968,0,2,DUT
GINS2,3.92295790019549e-304,1.52654389346713,0.924,0.73,7.84591580039097e-301,2,GINS2
RRM21,1.1389578762451e-296,1.30267525688835,0.965,0.823,2.2779157524902e-293,2,RRM2
DHFR1,4.05541089227889e-290,1.05298789253803,0.986,0.874,8.11082178455779e-287,2,DHFR
RFC41,1.90645463079635e-277,1.17070454260782,0.962,0.818,3.81290926159271e-274,2,RFC4
PCLAF1,4.11329272616966e-257,0.93410295181797,0.993,0.899,8.22658545233931e-254,2,PCLAF
CDC6,2.41235797421752e-256,1.57825698965197,0.871,0.642,4.82471594843505e-253,2,CDC6
FEN11,9.34270783637756e-256,0.979444546247444,0.972,0.851,1.86854156727551e-252,2,FEN1
UNG,7.03136741646737e-248,1.51606709899884,0.871,0.678,1.40627348329347e-244,2,UNG
MCM71,1.12555125656847e-234,0.747614475722669,0.997,0.946,2.25110251313695e-231,2,MCM7
HELLS1,2.71907375949854e-232,1.18898311333093,0.94,0.776,5.43814751899708e-229,2,HELLS
CLSPN1,6.46765405053088e-229,1.24664694576424,0.917,0.754,1.29353081010618e-225,2,CLSPN
TYMS1,1.19508528329217e-221,0.728416990051516,0.999,0.961,2.39017056658434e-218,2,TYMS
CHAF1A1,1.06221164402103e-218,1.1205961221035,0.929,0.785,2.12442328804206e-215,2,CHAF1A
CENPU1,3.56615715619741e-207,0.886842266593012,0.973,0.848,7.13231431239482e-204,2,CENPU
CDC25A,3.63296428128035e-203,1.2884623557139,0.869,0.699,7.2659285625607e-200,2,CDC25A
ATAD21,2.70222935792065e-188,0.958836957620295,0.938,0.801,5.4044587158413e-185,2,ATAD2
MCM101,1.31865434246557e-180,1.37874374305845,0.823,0.672,2.63730868493114e-177,2,MCM10
EXO11,4.91268092850835e-172,1.46530942435235,0.815,0.63,9.82536185701669e-169,2,EXO1
RAD51,2.65482293408103e-154,1.73341597996835,0.785,0.599,5.30964586816207e-151,2,RAD51
WDR761,2.86669131659555e-154,1.30355479383183,0.816,0.696,5.73338263319109e-151,2,WDR76
DTL,7.96935541627897e-154,1.19688943145686,0.842,0.714,1.59387108325579e-150,2,DTL
CHEK11,1.16464202668926e-151,0.850093846147014,0.923,0.816,2.32928405337852e-148,2,CHEK1
USP11,1.09042243623283e-147,0.646706391084052,0.985,0.912,2.18084487246566e-144,2,USP1
CCNE2,1.04529843114048e-141,2.02257161906595,0.684,0.565,2.09059686228097e-138,2,CCNE2
RRM11,2.33464205467833e-135,0.598085128720665,0.98,0.9,4.66928410935666e-132,2,RRM1
CDCA7L,1.12488268640917e-133,0.665515922002593,0.965,0.904,2.24976537281834e-130,2,CDCA7L
CASP8AP2,3.8321861917799e-133,0.969714191453981,0.881,0.763,7.66437238355979e-130,2,CASP8AP2
GMNN1,1.28393152660462e-130,0.78672692665936,0.918,0.816,2.56786305320925e-127,2,GMNN
DSCC11,6.65084919237672e-124,1.18947699812864,0.768,0.655,1.33016983847534e-120,2,DSCC1
DNAJC91,4.31231872077797e-123,0.58997666884505,0.973,0.916,8.62463744155594e-120,2,DNAJC9
DLL41,8.34236788602203e-122,0.499576416287715,0.029,0.305,1.66847357720441e-118,2,DLL4
HMGB1P142,4.10432280195746e-120,0.216460196004697,0.015,0.114,8.20864560391491e-117,2,HMGB1P14
RLN11,3.36103406412175e-118,0.545057108866297,0.071,0.236,6.7220681282435e-115,2,RLN1
RFC31,2.51286164850084e-117,0.833212354318748,0.876,0.779,5.02572329700167e-114,2,RFC3
AC109454.1,3.14167340001542e-117,1.71420331879965,0.026,0.081,6.28334680003084e-114,2,AC109454.1
AL139385.1,3.2541470709756e-117,0.52020966375879,0.03,0.111,6.50829414195121e-114,2,AL139385.1
ARL4AP52,7.86317031680294e-116,1.69891756292271,0.041,0.109,1.57263406336059e-112,2,ARL4AP5
AC044860.11,1.26047087098013e-115,1.42607730646204,0.017,0.132,2.52094174196026e-112,2,AC044860.1
AL009176.11,1.92724638703897e-115,0.720731624193471,0.046,0.15,3.85449277407794e-112,2,AL009176.1
CDT11,2.91178409225689e-115,0.748506847887477,0.901,0.82,5.82356818451378e-112,2,CDT1
AL021368.31,4.67824999420266e-114,2.31727322513068,0.067,0.24,9.35649998840532e-111,2,AL021368.3
AC011379.21,4.71920841167228e-112,0.605058753123982,0.02,0.16,9.43841682334455e-109,2,AC011379.2
AP006216.1,6.15884305964879e-111,1.17334398912669,0.005,0.025,1.23176861192976e-107,2,AP006216.1
AC002091.21,2.16308770256841e-110,0.230438439139984,0.024,0.095,4.32617540513681e-107,2,AC002091.2
ZNF4692,1.64929693317025e-109,0.336893697279317,0.089,0.251,3.29859386634049e-106,2,ZNF469
AC087289.51,2.00494304013304e-108,1.00442668472359,0.096,0.401,4.00988608026608e-105,2,AC087289.5
CDCA7,1.21304465196937e-107,0.555878392405021,0.967,0.901,2.42608930393874e-104,2,CDCA7
ORC61,1.22290515297811e-107,0.777136983084599,0.883,0.778,2.44581030595622e-104,2,ORC6
AC012485.32,1.25502047237352e-107,0.107748605016623,0.057,0.318,2.51004094474704e-104,2,AC012485.3
AL137230.11,7.37633975800051e-106,0.965430477718819,0.032,0.079,1.4752679516001e-102,2,AL137230.1
PSMC3IP1,3.53776823439822e-105,1.06022161969361,0.807,0.682,7.07553646879644e-102,2,PSMC3IP
PRIM11,5.45184667607436e-105,0.732432266135182,0.907,0.822,1.09036933521487e-101,2,PRIM1
CRMP12,6.39040946534633e-104,3.01450811762723,0.024,0.106,1.27808189306927e-100,2,CRMP1
AL352979.42,5.85797935238629e-103,0.106653834453613,0.054,0.232,1.17159587047726e-99,2,AL352979.4
TMEM106C1,6.38496482094729e-103,0.537033016819408,0.971,0.9,1.27699296418946e-99,2,TMEM106C
CENPV,6.4855965126531e-103,0.614088714291147,0.937,0.854,1.29711930253062e-99,2,CENPV
ASF1B1,1.15799908941136e-102,0.881532900521095,0.826,0.739,2.31599817882273e-99,2,ASF1B
AMIGO2,3.30698978875249e-102,1.94101369117432,0.063,0.242,6.61397957750498e-99,2,AMIGO2
TERB11,2.23445391663019e-101,0.398927001125914,0.045,0.265,4.46890783326039e-98,2,TERB1
CDCA51,1.14201293996533e-100,0.594266288342147,0.944,0.837,2.28402587993067e-97,2,CDCA5
CDC451,1.57152014873602e-99,0.990591459818267,0.81,0.72,3.14304029747205e-96,2,CDC45
AC007292.21,8.74705906232284e-98,0.802374733659313,0.023,0.096,1.74941181246457e-94,2,AC007292.2
NOG1,1.69218363037927e-97,1.40116633374191,0.065,0.156,3.38436726075853e-94,2,NOG
AC114402.11,9.17323592264038e-96,3.66049464021022,0.022,0.071,1.83464718452808e-92,2,AC114402.1
E2F2,9.54407918114425e-95,1.55309110791689,0.724,0.624,1.90881583622885e-91,2,E2F2
LHX1-DT1,1.51998615267014e-94,1.5542708824037,0.043,0.22,3.03997230534027e-91,2,LHX1-DT
DEK1,6.42397252786973e-94,0.436176288664555,0.994,0.96,1.28479450557395e-90,2,DEK
TBCAP32,5.27580583058612e-93,2.28599948759886,0.032,0.086,1.05516116611722e-89,2,TBCAP3
AC079944.22,4.52767412562518e-92,2.0699361974291,0.03,0.062,9.05534825125035e-89,2,AC079944.2
MYBL21,6.49693847111953e-92,0.678782728821429,0.887,0.787,1.29938769422391e-88,2,MYBL2
LINC02767,8.17556795134411e-91,0.315841143249932,0.066,0.262,1.63511359026882e-87,2,LINC02767
MCM81,1.23132160096984e-90,0.710021215728082,0.882,0.789,2.46264320193968e-87,2,MCM8
ID2-AS1,1.61625489302626e-90,2.31815152864312,0.066,0.206,3.23250978605251e-87,2,ID2-AS1
DNMT11,4.50287681704332e-90,0.496922077811089,0.978,0.915,9.00575363408664e-87,2,DNMT1
AC009088.11,5.7794796468761e-87,0.803561550787427,0.04,0.157,1.15589592937522e-83,2,AC009088.1
AC090527.31,6.27213331327089e-86,0.158856043114881,0.152,0.305,1.25442666265418e-82,2,AC090527.3
FBXO51,1.9417872893233e-85,0.834590274613173,0.809,0.716,3.8835745786466e-82,2,FBXO5
RP9P,3.33606839234284e-85,1.09935987783558,0.043,0.147,6.67213678468568e-82,2,RP9P
DSN11,5.38404311512601e-83,0.800233439801808,0.862,0.774,1.0768086230252e-79,2,DSN1
AC082651.3,1.87037157275607e-81,0.326223482123543,0.146,0.352,3.74074314551214e-78,2,AC082651.3
STMN11,6.620266886104e-81,0.340401753599497,0.999,0.997,1.3240533772208e-77,2,STMN1
AC008079.1,6.93935870956313e-81,0.403666224191635,0.055,0.136,1.38787174191263e-77,2,AC008079.1
HSPA8,9.45491683508568e-81,0.418887398072092,0.989,0.962,1.89098336701714e-77,2,HSPA8
CENPM1,1.05836294104478e-80,0.812527627352236,0.806,0.713,2.11672588208956e-77,2,CENPM
AC002558.21,1.59123137161412e-79,0.889089658460783,0.102,0.272,3.18246274322823e-76,2,AC002558.2
BRCA11,3.93876903779743e-79,0.731597763109454,0.857,0.78,7.87753807559485e-76,2,BRCA1
TMEM97,9.43130059899102e-79,0.609073921983244,0.923,0.871,1.8862601197982e-75,2,TMEM97
AREG,1.94671311561838e-77,3.80321859049918,0.023,0.134,3.89342623123676e-74,2,AREG
AC012676.3,5.82925625081159e-76,0.752136965772438,0.107,0.291,1.16585125016232e-72,2,AC012676.3
AL671277.22,1.3050986542702e-75,0.850692605248419,0.141,0.294,2.61019730854041e-72,2,AL671277.2
EDNRB-AS11,9.49671431635295e-75,1.37968592240337,0.074,0.196,1.89934286327059e-71,2,EDNRB-AS1
PDLIM32,1.522105152477e-70,2.87484797867872,0.01,0.129,3.04421030495401e-67,2,PDLIM3
PKMYT11,1.78130063974401e-70,1.28682019791871,0.681,0.65,3.56260127948802e-67,2,PKMYT1
TNFSF81,1.80282064110408e-70,0.428287477067276,0.035,0.061,3.60564128220816e-67,2,TNFSF8
CKLF1,6.56425940931987e-70,0.399938052823304,0.982,0.95,1.31285188186397e-66,2,CKLF
GNLY2,8.63343240422217e-70,0.927817692020943,0.024,0.154,1.72668648084443e-66,2,GNLY
SUCLG2-AS11,5.73780324692733e-69,1.63581591275398,0.056,0.182,1.14756064938547e-65,2,SUCLG2-AS1
AC008429.1,8.6621442772977e-69,0.364698171196158,0.126,0.228,1.73242885545954e-65,2,AC008429.1
LINC016942,9.50173520475114e-69,0.483751048997187,0.132,0.264,1.90034704095023e-65,2,LINC01694
ESCO21,3.07116568370238e-68,0.909549171868342,0.773,0.689,6.14233136740476e-65,2,ESCO2
LINC01277,4.53177235146424e-68,0.299049031772977,0.142,0.263,9.06354470292848e-65,2,LINC01277
TIMELESS1,2.69633761622633e-67,0.569279325187542,0.879,0.798,5.39267523245266e-64,2,TIMELESS
AC137932.3,1.15021804968459e-66,0.415688057768559,0.02,0.145,2.30043609936917e-63,2,AC137932.3
E2F1,1.20681465131387e-66,1.65161262632516,0.656,0.544,2.41362930262774e-63,2,E2F1
FADS1,1.61699340537832e-66,0.521632473510887,0.953,0.905,3.23398681075664e-63,2,FADS1
WDHD11,6.48325761196912e-66,0.810884849345393,0.768,0.693,1.29665152239382e-62,2,WDHD1
SCCPDH1,7.13704304035276e-66,0.490925115242522,0.915,0.865,1.42740860807055e-62,2,SCCPDH
ZNF2331,1.73108261243745e-65,1.10166453935735,0.083,0.288,3.4621652248749e-62,2,ZNF233
AC132938.5,4.41692572941568e-64,0.287820386232349,0.014,0.077,8.83385145883136e-61,2,AC132938.5
SSUH2,5.60228284304187e-64,0.866150928824112,0.074,0.172,1.12045656860837e-60,2,SSUH2
RFLNB,5.87664609625091e-64,0.662153240471579,0.853,0.785,1.17532921925018e-60,2,RFLNB
GAS62,1.3049984114216e-63,1.17467493444281,0.066,0.09,2.6099968228432e-60,2,GAS6
AC073046.42,2.25775239672679e-63,0.523112235922325,0.037,0.194,4.51550479345357e-60,2,AC073046.4
CC2D2A1,6.7899270167126e-63,0.273055236534304,0.138,0.325,1.35798540334252e-59,2,CC2D2A
TMSB15A1,8.71513966592723e-63,0.212058776777364,0.209,0.492,1.74302793318545e-59,2,TMSB15A
CALR,1.18242472246328e-62,0.335836053939484,0.999,0.98,2.36484944492656e-59,2,CALR
ASRGL11,4.56292442487767e-62,0.532640106879335,0.887,0.82,9.12584884975534e-59,2,ASRGL1
AL354760.11,5.52088142725253e-62,0.914689633891193,0.037,0.168,1.10417628545051e-58,2,AL354760.1
AL023803.32,1.30926859215518e-61,0.187150874740048,0.134,0.312,2.61853718431037e-58,2,AL023803.3
FANCI1,4.20357519040363e-61,0.455669463772755,0.943,0.852,8.40715038080727e-58,2,FANCI
ZWINT1,1.54588376934388e-59,0.490529635604418,0.906,0.82,3.09176753868775e-56,2,ZWINT
LINC010681,1.75437844954725e-59,0.571341945855284,0.044,0.109,3.5087568990945e-56,2,LINC01068
AC024568.11,3.35270990761764e-59,0.102218398815205,0.16,0.295,6.70541981523529e-56,2,AC024568.1
AC004080.41,1.25522262118521e-57,0.660089830560946,0.152,0.375,2.51044524237043e-54,2,AC004080.4
