,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
NOSTRIN1,2.72080997804243e-57,0.466635781250713,0.151,0.353,5.44161995608485e-54,2,NOSTRIN
DBNDD21,3.7583131131728e-57,0.553905096115094,0.851,0.801,7.5166262263456e-54,2,DBNDD2
BZW2,1.99044116585075e-56,0.412648786030104,0.926,0.878,3.9808823317015e-53,2,BZW2
LINC01554,4.45698566091083e-56,1.0502474991868,0.115,0.361,8.91397132182167e-53,2,LINC01554
SYS1-DBNDD21,2.1086298519596e-55,0.541963398550547,0.85,0.802,4.21725970391921e-52,2,SYS1-DBNDD2
MTTP1,6.54399845233741e-55,3.7205384628478,0.13,0.131,1.30879969046748e-51,2,MTTP
CARHSP11,4.45812635042562e-54,0.487667897861204,0.904,0.832,8.91625270085123e-51,2,CARHSP1
MAP7,7.85390719192191e-54,1.22443093452561,0.081,0.325,1.57078143838438e-50,2,MAP7
RPL7P45,1.32429711936342e-52,2.34904583902674,0.125,0.223,2.64859423872685e-49,2,RPL7P45
AC008691.11,4.82116423776793e-52,2.82929102823936,0.111,0.223,9.64232847553585e-49,2,AC008691.1
TNNI3K1,6.1957788143055e-50,1.41364856698826,0.098,0.206,1.2391557628611e-46,2,TNNI3K
CENPK1,9.20473153733532e-50,0.558709029679039,0.795,0.771,1.84094630746706e-46,2,CENPK
ATAD51,3.01079343220284e-49,0.630848495435852,0.803,0.749,6.02158686440567e-46,2,ATAD5
TMPRSS131,3.26603464474158e-49,0.1114247953603,0.125,0.169,6.53206928948316e-46,2,TMPRSS13
AC005165.1,5.69670187794948e-49,0.737340760866523,0.149,0.363,1.1393403755899e-45,2,AC005165.1
BX284668.6,9.81447069951237e-49,0.958169970980675,0.141,0.142,1.96289413990247e-45,2,BX284668.6
SMC21,1.07246484611782e-48,0.323253896881546,0.974,0.918,2.14492969223564e-45,2,SMC2
MYH10,3.71509941892365e-48,0.441288390772383,0.914,0.877,7.4301988378473e-45,2,MYH10
CTNNAL11,1.40374585756453e-47,0.579491871454212,0.829,0.749,2.80749171512906e-44,2,CTNNAL1
IDH21,9.59532492639548e-47,0.321437688099624,0.974,0.937,1.9190649852791e-43,2,IDH2
