,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
NUP62,6.29411909810111e-22,-0.351749328565603,0.903,0.93,1.73969451871515e-17
CCT7,6.69375707830736e-22,-0.23333146538773,0.975,0.987,1.85015445644415e-17
ESCO2,6.92831656623531e-22,-0.485328803842281,0.604,0.737,1.91498669890744e-17
DONSON,8.1147643177089e-22,-0.720925331841644,0.395,0.537,2.24292085741474e-17
TTC3,9.97917553432259e-22,-0.372508153842628,0.924,0.941,2.75824411768676e-17
HERC5,1.21441348898246e-21,-0.775201234728907,0.437,0.567,3.35663888354751e-17
SLAMF7,1.39921781986379e-21,2.26106883349534,0.113,0.025,3.8674380541035e-17
SLAMF1,1.52495949764408e-21,2.83029973401306,0.101,0.019,4.21498805148824e-17
NCAPD2,1.60661019702219e-21,0.512764665567963,0.829,0.73,4.44067058456933e-17
SF3A3,1.64961267764858e-21,-0.294945914813389,0.912,0.94,4.55952944102069e-17
COLGALT1,1.88989182025269e-21,-0.820343750426934,0.337,0.479,5.22366099117845e-17
DSN1,2.18563260329569e-21,-0.506005034634049,0.65,0.741,6.04108851550929e-17
IL4I1,2.20021335054618e-21,2.23096364662391,0.111,0.024,6.08138970090965e-17
TFDP1,2.34810178102311e-21,-0.39749291793037,0.806,0.858,6.49015332274787e-17
CD44,2.51310563371224e-21,2.82024357326735,0.124,0.032,6.94622397158064e-17
HNRNPD,2.63201676144278e-21,-0.235044074178761,0.995,0.998,7.27489432862784e-17
BASP1,2.8420716881434e-21,3.05255631025328,0.107,0.023,7.85548614602835e-17
POLE2,3.06892962526154e-21,-0.74240123204979,0.354,0.493,8.48252148422291e-17
SYNCRIP,3.42413587479169e-21,-0.296710276229045,0.937,0.956,9.46431155792424e-17
ARHGAP19,3.98351258642713e-21,0.684308232862626,0.671,0.531,1.10104287888846e-16
LYN,4.59317034717786e-21,2.24110087675448,0.09,0.013,1.26955228395996e-16
PLIN2,4.83128387246969e-21,2.09421087169559,0.109,0.023,1.33536686235062e-16
PRPS1,5.0507240765638e-21,-0.364835572553699,0.801,0.87,1.39602013476224e-16
MFHAS1,5.06486685658518e-21,-0.544458876193219,0.579,0.697,1.39992919916014e-16
EGR1,5.25411813379817e-21,1.7579352218609,0.23,0.105,1.45223825218181e-16
CDK4,6.46479241793082e-21,-0.259272351335154,0.955,0.978,1.78686862431608e-16
SERINC5,7.60352358832492e-21,-0.494521807162879,0.717,0.795,2.10161391981301e-16
POLR2D,8.59724851219672e-21,-0.399170560145743,0.771,0.854,2.37627948877117e-16
MTCH1,8.95748727291981e-21,-0.384465767575495,0.845,0.892,2.47584948223504e-16
ITPRIPL1,1.0798398717331e-20,-0.715610186991089,0.414,0.548,2.98467740547028e-16
HACD3,1.11617504004682e-20,-0.401218759448791,0.806,0.872,3.0851078106894e-16
PRPS2,1.1393220625935e-20,-0.599793328581689,0.581,0.692,3.14908618100844e-16
FCER2,1.17071698800158e-20,2.7036168946439,0.105,0.023,3.23586175483637e-16
GNL3,1.18583672016492e-20,-0.328876564202713,0.888,0.94,3.27765269453584e-16
SOD1,1.21631312165503e-20,-0.226233321172343,0.988,0.997,3.36188946825449e-16
SET,1.22540324176292e-20,-0.164543378737605,0.999,1,3.3870145602327e-16
IDI1,1.28331768589124e-20,-0.429580040977496,0.863,0.91,3.5470900838034e-16
MS4A1,1.60223450215253e-20,2.04816100855931,0.133,0.039,4.42857616394958e-16
FAS,1.98304492294678e-20,1.63098790645146,0.19,0.078,5.48113616702491e-16
ARHGAP11A,2.07546667924337e-20,0.566527186263335,0.771,0.667,5.73658990142867e-16
EGR2,2.28700568853707e-20,2.35868213963263,0.092,0.016,6.32128372311647e-16
TES,2.38441923739593e-20,2.34898937337994,0.094,0.017,6.59053477216235e-16
RPS2,2.52186161514853e-20,0.237029141480017,1,1,6.97042550427053e-16
CD86,2.57487962888744e-20,1.80724281104448,0.117,0.029,7.11696729424489e-16
GATA3,2.59722452651696e-20,0.684592642200283,0.662,0.513,7.17872859129287e-16
FANCL,2.80784797436972e-20,-0.737358076773639,0.398,0.529,7.7608918011579e-16
KIF23,2.81534872327715e-20,0.680192641631996,0.702,0.592,7.78162387113805e-16
PNMA2,4.05265277979166e-20,-0.755268777622886,0.29,0.436,1.12015322833442e-15
KRI1,4.51438016574767e-20,0.523931645068545,0.76,0.641,1.24777467781266e-15
SPARC,4.63781899307374e-20,-0.891379378404817,0.253,0.394,1.28189316968558e-15
ICAM1,4.84020805757508e-20,2.22587533650687,0.124,0.034,1.33783350711375e-15
CMPK2,5.16554270265085e-20,-0.80507484698467,0.277,0.424,1.42775600301269e-15
CCL5,5.30684289706455e-20,2.24158947750723,0.104,0.023,1.46681137674864e-15
MCM8,6.14084724173636e-20,-0.344827850313706,0.833,0.892,1.69733017761593e-15
NUF2,6.49616803788441e-20,0.519510956780704,0.757,0.643,1.79554084567125e-15
RANBP1,6.59013506405354e-20,-0.229263511043114,0.963,0.983,1.8215133317044e-15
SRSF3,6.66567938657049e-20,-0.206235421273508,0.992,0.995,1.84239378244808e-15
SSBP4,6.97362628012103e-20,-0.551012842768369,0.529,0.64,1.92751030382545e-15
CD70,7.53475131577788e-20,2.65093674083571,0.139,0.045,2.08260526368101e-15
MYLIP,8.34051048783657e-20,0.904384610570959,0.289,0.15,2.30531709883803e-15
CTSS,9.52032195319206e-20,2.24385628911923,0.102,0.022,2.63141698786229e-15
HLA-A,1.05415236536834e-19,1.05580591416858,0.762,0.696,2.91367713787809e-15
SRSF11,1.15304291941557e-19,-0.214407053429265,0.987,0.991,3.18701062926465e-15
OTULINL,1.18202930736909e-19,-1.35566754016943,0.093,0.207,3.26712900556818e-15
RNF138,1.21390012391591e-19,-0.470535531171926,0.628,0.723,3.35521994250358e-15
PDGFA,1.22195360239616e-19,-1.0518997813046,0.253,0.388,3.377479757023e-15
CD37,1.22489504131913e-19,2.24714900466802,0.09,0.016,3.38560989420607e-15
TTK,1.24409516335426e-19,0.556899290356096,0.722,0.599,3.43867903151118e-15
LTA,1.25231225913272e-19,2.92284823035596,0.094,0.018,3.46139108424283e-15
COCH,1.40285898496978e-19,-0.903228963717348,0.261,0.395,3.87750223445648e-15
GPR183,1.44775329524007e-19,2.42908726901311,0.087,0.015,4.00159010804356e-15
ENDOD1,1.53654766939278e-19,-0.74830451078356,0.396,0.536,4.24701775820166e-15
JPT2,1.54189496744751e-19,-0.450107862753799,0.669,0.771,4.26179769002492e-15
CD74,1.54906454144409e-19,1.80622617303144,0.149,0.051,4.28161439255146e-15
MYL12A,1.88324524954452e-19,0.348853395270665,0.941,0.912,5.20528986974107e-15
LGALS3,2.28940267721649e-19,3.12954465454064,0.074,0.009,6.32790899982639e-15
TIPIN,2.32952614842215e-19,-0.623211192212828,0.516,0.618,6.43881027423881e-15
RAB6B,2.54638372331887e-19,-1.71062051673622,0.069,0.173,7.03820461125335e-15
BIRC5,2.61696683044383e-19,0.450305445105081,0.845,0.786,7.23329631934674e-15
RPL41,2.77850512367221e-19,0.407429283729332,1,1,7.67978816182999e-15
CCT8,2.8391784717914e-19,-0.210037116111504,0.982,0.994,7.84748929603143e-15
PHF13,3.13213492046908e-19,-0.778112570088816,0.289,0.431,8.65722092017653e-15
LGALS1,3.70367966408768e-19,2.7820479666651,0.197,0.088,1.02369705915383e-14
GDI2,3.72043156820979e-19,-0.273321711502994,0.939,0.955,1.02832728545319e-14
HSP90B1,5.57721841734072e-19,0.320704283552508,0.989,0.991,1.54154317055298e-14
SNX10,6.55309770070459e-19,-0.493313215021717,0.564,0.671,1.81127620447475e-14
NHP2,7.2549694016262e-19,-0.287792935871668,0.92,0.943,2.00527354260948e-14
TMEM106C,7.27983665599544e-19,-0.245057002721106,0.953,0.976,2.01214685171714e-14
SMIM3,7.46592311626249e-19,0.777012287363135,0.445,0.296,2.06358114933495e-14
CKAP5,7.72757479893785e-19,0.519500535722792,0.807,0.711,2.13590167442642e-14
CENPB,8.56597399363513e-19,-0.383449597587258,0.725,0.795,2.36763521184075e-14
CENPM,9.58522765901162e-19,-0.374024542663494,0.738,0.817,2.64935692495081e-14
DDX24,9.6756128401079e-19,-0.299487575558539,0.924,0.957,2.67433938900582e-14
RPL10P9,1.02647566722262e-18,2.47094605123461,0.165,0.066,2.83717874420332e-14
SMYD4,1.14887652371679e-18,-0.649066161741359,0.369,0.507,3.17549471155322e-14
SMC6,1.15471380514774e-18,-0.434047578614754,0.77,0.818,3.19162895742836e-14
HLA-F,1.20669041029828e-18,1.74428778439797,0.172,0.07,3.33529229406446e-14
ORC1,1.26714311325965e-18,-0.925603384751675,0.233,0.362,3.50238356504967e-14
AL049873.1,1.36102976525104e-18,1.16368176408187,0.243,0.122,3.76188627115388e-14
NUCB2,1.41815796907328e-18,0.218938317031363,0.998,0.999,3.91978862651855e-14
NRCAM,1.49076403561257e-18,1.5571426870932,0.09,0.017,4.12047179443313e-14
SRSF5,1.53927769839267e-18,0.273492919416931,0.979,0.977,4.25456355835733e-14
LITAF,1.58891404321228e-18,2.02400443295629,0.105,0.026,4.39175841543875e-14
SRPK1,1.63630783176773e-18,-0.411375513218167,0.79,0.854,4.52275484700602e-14
KIF5B,1.64317747739574e-18,0.328474202395639,0.949,0.913,4.54174254752182e-14
MARCKS,1.68046479084591e-18,1.72413853391371,0.227,0.112,4.64480468189811e-14
TUBB,1.69248343943394e-18,0.164314145872049,0.999,0.999,4.6780242265954e-14
CD80,1.82446606601474e-18,2.27648143475332,0.085,0.015,5.04282420646473e-14
PTMA,1.84799536527747e-18,-0.142736661596221,1,1,5.10785918962693e-14
HSPE1,1.93421409030854e-18,-0.261187438896574,0.982,0.994,5.34616774561279e-14
NACA2,1.97973344008573e-18,1.26866424006457,0.164,0.062,5.47198322839695e-14
GTSF1,2.02084507201991e-18,1.87368087636552,0.108,0.027,5.58561577906304e-14
HLA-E,2.02361008633665e-18,0.778257689486834,0.609,0.483,5.59325827863449e-14
MARCKSL1,2.48837666116978e-18,-0.273769864911427,0.942,0.973,6.87787309147327e-14
STK17B,2.57322398577118e-18,0.563271814477645,0.564,0.396,7.11239109667154e-14
PBX3,3.0521720202044e-18,-0.7075243918036,0.421,0.537,8.43620346384497e-14
EIF3B,3.09041045938827e-18,-0.260148233924375,0.943,0.973,8.54189450974917e-14
TFPI2,3.40601534382092e-18,2.56043400115929,0.081,0.013,9.41422641032102e-14
XRCC5,3.44884860902307e-18,-0.190106112712164,0.988,0.998,9.53261755533976e-14
RPS21,3.59164615345643e-18,0.233165172869078,1,1,9.92730996815359e-14
TPT1,3.73068312315427e-18,0.290380848657345,1,1,1.03116081523984e-13
TMEFF1,3.76787988759743e-18,-0.947615880063046,0.182,0.313,1.04144200093193e-13
SOD2,3.85203795834898e-18,-0.493596302028403,0.628,0.719,1.06470329168766e-13
AIP,3.86847640682268e-18,0.423755379739302,0.831,0.742,1.06924687884579e-13
GOLM1,4.09397321682185e-18,-0.661329183503551,0.389,0.518,1.13157419712956e-13
TAX1BP1,4.26843036984386e-18,0.298357016364043,0.937,0.918,1.17979415422484e-13
CCDC12,4.3555555115955e-18,0.51320015168879,0.741,0.626,1.203875543405e-13
TKT,4.57738173999205e-18,-0.22180650754101,0.967,0.979,1.2651883129338e-13
HSPA14,4.82432395249283e-18,-0.369627151478087,0.814,0.865,1.33344314046902e-13
CCP110,5.11549634096542e-18,-0.353020912116435,0.745,0.826,1.41392318864284e-13
RNF44,5.23950792642517e-18,0.659225441091643,0.529,0.374,1.44819999086392e-13
EIF2S1,5.58918664776053e-18,-0.348944420377512,0.855,0.896,1.54485118944101e-13
PRPF40A,5.62406854198848e-18,-0.26326332584348,0.962,0.969,1.55449254500562e-13
RELB,5.70817833060808e-18,1.50375507394745,0.158,0.059,1.57774049058007e-13
ALDH18A1,6.38701549131995e-18,-0.496110673503333,0.626,0.717,1.76537108180083e-13
RPS4XP11,7.02271333135269e-18,1.19704694438682,0.171,0.068,1.94107796478588e-13
MESP1,7.19788990413864e-18,-0.946019891275268,0.189,0.314,1.98949676950392e-13
BORA,7.83520540232648e-18,0.75740977981439,0.449,0.301,2.16565077320304e-13
SRD5A3,8.02268959969568e-18,-0.409712510649857,0.679,0.787,2.21747140535588e-13
KRTCAP2,8.65659174697271e-18,0.253414758956061,0.965,0.955,2.39268195886326e-13
PLIN3,9.19201102672185e-18,0.620314084307885,0.583,0.427,2.54067184778592e-13
CTNNAL1,9.35858243437194e-18,-0.417612251944064,0.75,0.82,2.58671218486041e-13
ANP32A,9.37092351907481e-18,-0.222357537389182,0.971,0.988,2.59012326067228e-13
PSMA3,9.49336900344692e-18,-0.231231625638527,0.971,0.981,2.62396719255273e-13
MATR3,9.73898715873166e-18,-0.209476040159725,0.984,0.995,2.69185605067343e-13
CAND1,9.915779057373e-18,-0.409471749429747,0.748,0.807,2.7407213314579e-13
YWHAQ,9.95591935218381e-18,-0.203703226699343,0.993,0.995,2.7518161089436e-13
AC099560.2,1.00177300957085e-17,1.20081068118217,0.187,0.08,2.76890059845382e-13
BCL2A1,1.00733352507923e-17,2.33285087879843,0.102,0.025,2.784269863319e-13
OSTC,1.02580392949167e-17,0.27781413156565,0.946,0.932,2.83532206111499e-13
SHMT1,1.04120254850771e-17,-0.453564733731384,0.549,0.67,2.8778838440753e-13
MSANTD3-TMEFF1,1.11361597843968e-17,-0.94731548704762,0.182,0.311,3.07803456440729e-13
SAC3D1,1.12776823755543e-17,-0.541929162345791,0.527,0.634,3.11715140860321e-13
NCF4,1.13248792141078e-17,2.70870042667503,0.079,0.013,3.1301966147794e-13
SAMD1,1.13435750456674e-17,-0.62542779598411,0.404,0.537,3.13536414262246e-13
SLC16A10,1.22203504958815e-17,-0.883426993053425,0.234,0.365,3.37770487706165e-13
S100A6,1.40913361637569e-17,2.98685379263991,0.089,0.019,3.89484531566242e-13
SIGMAR1,1.61318859009403e-17,-0.48292169490239,0.632,0.738,4.45885326301989e-13
FAM222A,1.67022515319098e-17,-2.22163289993078,0.028,0.104,4.61650232341986e-13
HNRNPM,1.9228236450756e-17,-0.240151030515229,0.968,0.985,5.31468455498897e-13
CSE1L,1.92429714271337e-17,-0.338748320741529,0.782,0.847,5.31875730245977e-13
RNF26,1.9281493194722e-17,0.667828402770064,0.502,0.344,5.32940471902115e-13
