,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
139,4.33694771745072e-70,2.02625112587624,1,0.727,8.67389543490144e-67,13,HMMR
140,2.49506779499324e-68,1.7971027435078,0.994,0.783,4.99013558998648e-65,13,GTSE1
141,6.76850130012265e-109,3.82124423081449,0.938,0.105,1.35370026002453e-105,14,PDLIM3
142,1.91597516743123e-105,5.17772233468619,0.434,0.047,3.83195033486245e-102,14,LINC00167
143,1.91296439459584e-104,3.14197996205098,0.952,0.152,3.82592878919168e-101,14,PDZK1
144,2.34693155518558e-102,2.98752507583031,0.966,0.209,4.69386311037115e-99,14,AC139491.2
145,1.88011029230816e-101,3.46899886802988,0.945,0.192,3.76022058461632e-98,14,AC139493.2
146,3.49462519224842e-101,3.17028868537728,1,0.362,6.98925038449683e-98,14,SIGLECL1
147,5.58690020819387e-98,2.62807595868888,1,0.312,1.11738004163877e-94,14,AC109133.1
148,7.51703358049651e-98,2.15760540962356,0.91,0.076,1.5034067160993e-94,14,FMN1
149,1.83502837848451e-97,2.51116086327621,0.993,0.343,3.67005675696902e-94,14,AL356966.1
150,3.59476681735586e-96,2.48698430352623,0.959,0.168,7.18953363471172e-93,14,COL6A3
151,1.33758931216782e-42,4.89267887800963,0.519,0.061,2.67517862433565e-39,15,AL135818.2
152,2.00287085565835e-42,4.75093010751593,0.684,0.071,4.0057417113167e-39,15,AC109454.1
153,5.04121801077142e-42,2.25241199404904,1,0.996,1.00824360215428e-38,15,MALAT1
154,4.06369934736465e-40,1.77992139393603,1,0.977,8.1273986947293e-37,15,MT-ND3
155,4.93621710809786e-40,1.8050960072729,1,0.999,9.87243421619572e-37,15,MT-RNR1
156,3.8445978472563e-38,5.32184558811808,0.62,0.071,7.6891956945126e-35,15,HRH1
157,4.47071719974423e-35,3.41408714907578,0.722,0.096,8.94143439948845e-32,15,MAP7D2
158,9.28144836141696e-35,6.19023686051733,0.405,0.063,1.85628967228339e-31,15,AC114402.1
159,1.62549753595306e-34,2.70867247103774,0.873,0.375,3.25099507190613e-31,15,AC021701.1
160,8.921458915546e-34,4.00375775011694,0.722,0.155,1.7842917831092e-30,15,AC090246.1
