"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"MPP3.TIRAP",1.49020625363602e-06,4.74872111979165,0.211,0.007,0.0364787588827561,"MPP3"
"MPP3.TRNAU1AP",1.62536315695326e-06,4.81672152880815,0.211,0.007,0.0397872647190589,"MPP3"
"MPP3.RMDN3",1.77226206162482e-06,4.3887697942246,0.211,0.007,0.0433832030065139,"MPP3"
"MPP3.ZSCAN32",1.77226206162482e-06,4.16434694136396,0.211,0.007,0.0433832030065139,"MPP3"
"MPP3.APLF",1.84107026471567e-06,7.43708912071183,0.158,0,0.0450675590099749,"MPP3"
"MPP3.PHLDB2",1.84107026471567e-06,6.67898634070033,0.158,0,0.0450675590099749,"MPP3"
"MPP3.SPARCL1",1.84107026471567e-06,8.5658390427255,0.158,0,0.0450675590099749,"MPP3"
"MPP3.COL17A1",1.84107026471567e-06,6.21111253733122,0.158,0,0.0450675590099749,"MPP3"
"MPP3.IFI27",1.84107026471567e-06,10.1458987067145,0.158,0,0.0450675590099749,"MPP3"
"MPP3.TECR",1.84107026471567e-06,6.84134250966007,0.158,0,0.0450675590099749,"MPP3"
"MPP3.TMEM38A",1.84107026471567e-06,7.40982326666339,0.158,0,0.0450675590099749,"MPP3"
"MPP3.SIGLEC10",1.84107026471567e-06,7.44915000350046,0.158,0,0.0450675590099749,"MPP3"
"pre_pro_B.S100A8",1.33567235962109e-17,3.38705107742682,1,0.671,3.26959236911646e-13,"pre_pro_B"
"pre_pro_B.IGLL1",2.66509319310856e-17,3.18129419664657,0.875,0.306,6.52388162741044e-13,"pre_pro_B"
"pre_pro_B.XIST",1.94952895507753e-15,8.4589747409331,0.569,0,4.77225192913428e-11,"pre_pro_B"
"pre_pro_B.S100A9",2.75727138711116e-15,3.37421416843457,0.986,0.565,6.7495246285094e-11,"pre_pro_B"
"pre_pro_B.DNTT",2.33937130269362e-12,1.73091656074647,0.903,0.518,5.7265470118637e-08,"pre_pro_B"
"pre_pro_B.RPS29",7.94752177333011e-12,1.01245880849409,1,1,1.94547385489348e-07,"pre_pro_B"
"pre_pro_B.CAMP",9.44483599386542e-12,3.83601364067826,0.653,0.129,2.31200140293832e-07,"pre_pro_B"
"pre_pro_B.VPREB1",2.72348370639684e-11,1.82112062775052,0.875,0.388,6.66681576488882e-07,"pre_pro_B"
"pre_pro_B.SLC35F1",5.89001434871125e-11,2.7445698145109,0.653,0.153,1.44181661242103e-06,"pre_pro_B"
"pre_pro_B.GAPDH",1.67250139669604e-10,1.25709069839109,0.972,0.953,4.09411616897224e-06,"pre_pro_B"
